return,risk
-143.51035985804558,1074144.49039501
-4.716903283017754,1158.8517650223343
-29.834416269709585,46388.744374214875
-160.55134553035546,1344355.4051874385
-4.142773357924164,892.746288793874
-143.51035985804558,1074144.49039501
-4.9170779775052065,1259.0320773393105
-146.11846694742013,1113335.1784890061
-142.4272946316471,1058000.1463975476
-0.01788899888473563,0.017603219657920253
-4.168908305491447,906.2584625041198
-27.749383783697606,40165.14356055457
-816.2881236297608,34751544.214391336
-0.9313673121824639,45.05505349836723
-26.58948435401249,36880.92651290825
-28.21376659825039,41506.5696401704
-160.55134553035546,1344355.4051874385
-4.84142977966541,1216.534896360516
-146.11846694742013,1113335.1784890061
-837.9924988240662,36624027.322741985
-28.54000929483223,42488.139832795976
-29.601767168370248,45707.24536864237
-0.1447740084622763,1.0526049139404328
-167.98408878939247,1471674.7013598438
-142.08967976115036,1052796.8920325972
-837.9924988240662,36624027.322741985
-27.780562146138667,40254.53008357114
-676.4564128786698,23865403.360497728
-4.244241912877858,937.3017473848656
-675.1695725759812,23774300.97011628
-676.4564128786698,23865403.360497728
-31.678106503577713,52300.166748590826
-28.59439378784847,42646.01321573616
-150.2811308849659,1177830.5455489182
-29.601767168370248,45707.24536864237
-26.726423306439877,37263.651790939366
-0.00901083755254215,0.0029535216675524493
-816.2881236297608,34751544.214391336
-0.017523727537961678,0.017215181765424033
-675.1695725759812,23774300.97011628
-714.0751722943344,26593628.906863473
-781.0403361747894,31814738.659825236
-786.0248427279206,32222050.685886048
-143.6626456316185,1076211.4094194542
-4.047627234117031,852.90178840975
-781.0403361747894,31814738.659825236
-714.0751722943344,26593628.906863473
-24.992238028840067,32585.400939205305
-26.448303055963514,36492.23328073975
-786.0248427279206,32222050.685886048
-4.577724944060027,1089.5574080371134
-143.6626456316185,1076211.4094194542
-26.726423306439877,37263.651790939366
-138.27980941932108,997130.8333487259
-4.142773357924164,892.746288793874
-28.84329190267849,43398.06828506722
-136.84994209226036,976826.0717110498
-143.80497797615433,1078444.3845484047
-136.84994209226036,976826.0717110498
-145.26403422679138,1100624.7027534107
-778.5137927400818,31610373.594876178
-696.0483680127106,25266556.695576437
-696.0483680127106,25266556.695576437
-778.5137927400818,31610373.594876178
-0.00846117225642233,0.002837876203143323
-24.992238028840067,32585.400939205305
-0.008775615993221178,0.0029836350843758484
-0.00896446469265089,0.0031189999255860482
-0.008548539932519342,0.002987544474940783
-0.008775615993221178,0.0029836350843758484
-0.00846117225642233,0.002837876203143323
-0.008972405364195201,0.0031267754425934476
-0.008972374932046452,0.0031267577673194376
-0.009273527816081545,0.003386088878802354
-0.008960408160004771,0.0030571751238453715
-0.009111871725229832,0.0032368433330599326
-0.009192936430475755,0.003261568132594175
-0.008745348135922962,0.003162405027532203
-0.008391098883758667,0.002929457717320819
-0.009286316384086018,0.0033143848759610304
-0.009192936430475755,0.003261568132594175
-0.009111871725229832,0.0032368433330599326
-0.009286316384086018,0.0033143848759610304
-0.009095060259844167,0.0032298375579108106
-0.009273527816081545,0.003386088878802354
-0.009046458645819816,0.0032207411056451155
-0.008391098883758667,0.002929457717320819
-0.009095060259844167,0.0032298375579108106
-0.008776973958285488,0.00300772434603107
-0.008430806794696462,0.0028339955179000195
-0.008776973958285488,0.00300772434603107
-0.009033589035666782,0.0032134895191817774
-0.009033589035666782,0.0032134895191817774
-0.008607697581501676,0.0026834268352396583
-0.009033589035666782,0.003213489519181777
-0.009035796803721673,0.003214754761892301
-0.009046458645819816,0.0032207411056451155
-0.008768658788765328,0.0030032275043118937
-0.009033589035666782,0.003213489519181777
-0.003752429058172767,0.0008936589012132907
