MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
0.018150237565425446,0.01815020971045687,0.01815010162210817,0.0164994605050131,0.01663913710109246,0.33313170776824147,0.20361012080897978
0.018150207916894517,0.01815015780749241,0.018150145204711515,0.017463427032123658,0.01769188301565902,0.3693593233817093,0.20277032638574718
0.018150211436659867,0.018150184428513034,0.0181501559232025,0.01670676307536621,0.01699030200420297,0.37006467883165634,0.21924112176093047
0.018150259750549926,0.018150178784937705,0.01728397665358331,0.01677267908292834,0.017837721672823433,0.36272983322161956,0.18797052273992995
0.018150257063312324,0.0181501118891444,0.018149802110796594,0.016647758664042337,0.01740578335469989,0.2075919737493443,0.2048496742897468
0.018150242636537865,0.01815014235066977,0.01815014898061107,0.016516945020015165,0.01684334523642807,0.31015401478860377,0.19589627685219052
0.018150216728460095,0.01815018265786907,0.018149925130452434,0.01754103931897775,0.01699853239567545,0.3762812511969256,0.1965802479889868
0.018150220383316287,0.018150190913974452,0.018149697776770498,0.01678163996818625,0.017892659988718675,0.36162418174575806,0.2109009421210802
0.018150242897267178,0.01815016662159704,0.018150141690602934,0.017135291570715003,0.01695676940146429,0.36677142700579635,0.2016839955303066
0.01815022641752417,0.01815023845337857,0.018150106794445627,0.017547547643925836,0.017207107916214173,0.35102587555900955,0.20658083410097886
0.01815023509346262,0.018150172064740327,0.017283977328878423,0.017611458636229836,0.017506217267868926,0.3817121952401296,0.20797718751452662
0.018150218436828982,0.018150160461155664,0.017283399179994257,0.017735704643626084,0.016922689152817538,0.362742135789203,0.20791101342062776
0.018150252425302972,0.018150177163426942,0.01728344859668685,0.01650055767955935,0.016730636988199873,0.36791851819465726,0.22954000967158533
0.018150228700054064,0.01815016837422249,0.01728397325419277,0.017670637631425977,0.01717723920816275,0.355072900746792,0.1887658256618017
0.01815022098928692,0.01815017291003582,0.01815011108240463,0.016438196307572872,0.017077032918961604,0.35993719145731373,0.18814748754150462
0.018150236712750067,0.018150164902644945,0.018150072077770866,0.016992985682721118,0.018031579626706564,0.09874237899883381,0.19833103900216623
0.018150253433365966,0.01815019979643792,0.01815013146191374,0.01791482416992518,0.017959774892810948,0.35681293273445064,0.18463139026749834
0.01815025023183137,0.018150082470660807,0.018150007480132332,0.017265091862450118,0.017854121692922092,0.32282317842103064,0.1954259268229988
0.018150234962614815,0.018150184606255,0.01815004942270595,0.016304014794219786,0.017114587850284135,0.3613058167018841,0.19874532948418966
0.018150238836285214,0.018150136858105112,0.018150138722150874,0.016614340707678834,0.0178949674688234,0.3236415092345821,0.2016618809407969
0.01815023425877798,0.018150123063771423,0.01814985090136761,0.0175253839031161,0.017209462443503437,0.32312494611571385,0.22174968941266396
0.018150233832632354,0.018150128186350183,0.018150187472475068,0.016715567989336773,0.017196127010222346,0.3720288345536485,0.20686649769821586
0.018150239851791813,0.018150172184210105,0.018150145488078067,0.01693462293861516,0.017081839634600096,0.36067636115656676,0.21360436002589095
0.01815024600749759,0.018150148228622768,0.018150015864273776,0.017495137542681248,0.017725666513219558,0.3429892333218966,0.20032845221049936
0.018150235142750232,0.01815021049969718,0.017283930154182857,0.01801086453248639,0.017685205959350015,0.36461782303532564,0.1571318300518298
0.01815022313753215,0.01815022857332111,0.0181501111347465,0.017555243280316976,0.017810041783128068,0.3841086611286521,0.2060727465276353
0.018150229091793344,0.01815018887572601,0.018150201560419115,0.016464567287276247,0.017704784124460336,0.35875768417619713,0.1953969065880961
0.01815024101748133,0.018150083064022073,0.017283155550390353,0.0158711722342434,0.016945431212172832,0.37014853141864246,0.20935414061897856
0.018150260896845943,0.01815012586513763,0.018149939400343935,0.01663445302849635,0.01727971809562411,0.06323994837271074,0.1894650158402903
0.018150218954875,0.01815023585669192,0.018150012543872936,0.01656172766355475,0.01762306129283484,0.35305823942305614,0.214857093230359
0.01815023975526797,0.018150163082348843,0.017283495117950787,0.017567995471827094,0.01701582190558399,0.3561555279091636,0.19696454934863084
0.018150263132438216,0.018150134115854158,0.0172833935065093,0.01750639484057558,0.017784670205387442,0.35206266427412336,0.1954858556675481
0.018150223999342963,0.018150110218195674,0.018150106737115822,0.01765459200000043,0.016330685693779354,0.36194526098290186,0.19841783880442693
0.018150238681535057,0.018150176600183802,0.01814976870257461,0.016501491138438993,0.01778892489397116,0.34021761831704056,0.19623135081157037
0.018150259104665393,0.018150151026156885,0.01728399012849322,0.01790665924540749,0.017637816939617263,0.3367654917394272,0.21112770920874155
0.018150222746677862,0.01815010615307207,0.018150137723950573,0.016147903792045448,0.017701614403372215,0.3787106345114175,0.21206576462600268
0.0181502250416099,0.01815017678569849,0.018150171449655837,0.016909610126391555,0.017314419575287034,0.3615524673168445,0.2154870248408202
0.018150213639436665,0.018150152821491686,0.01728401350887079,0.016151053448738753,0.01768623893641309,0.35929145677539304,0.1802417826165314
0.01815024570101656,0.01815015888787712,0.01815009642294715,0.016583701690160952,0.01766605426246052,0.3508129564275843,0.20256406730637386
0.01815024559008933,0.018150161848757465,0.01728379802059555,0.016116780682087117,0.01648253867883036,0.336118095241843,0.20880836776848172
0.018150250107662132,0.01815016958529079,0.018149785802360204,0.015761632926088176,0.01758262311656027,0.36455856279228543,0.21643878224122903
0.0181502318274257,0.018150143007158955,0.01728355831020928,0.017543973516951528,0.016834254690611037,0.3552979744235668,0.1939650876348952
0.01815024781236582,0.018150201308189146,0.018150119117697348,0.01622853765653352,0.01692549617094642,0.3665065155170469,0.20565700913644944
