return,risk
-0.11767414349508286,1.6550608253348753
-0.11341504365348816,1.5366097941910475
-0.1126173433625102,1.5102142468022164
-0.11205510101962089,1.495637128262073
-0.11237024566113948,1.502627125724513
-0.1126173433625102,1.5102142468022164
-0.11214365204644204,1.4982151718820949
-0.11214365204644204,1.4982151718820949
-0.11138660290348532,1.4766841023669777
-0.11060594226616621,1.4550344034554008
-0.10979487183445692,1.432826744442974
-0.10895975404077768,1.4108836736425208
-0.10814229054701328,1.3889764204797068
-0.10733867574310302,1.3677016472942436
-0.10651919102966786,1.3462490877161675
-0.10621325970044315,1.1245410974350827
-0.10484787511008978,1.3035455703149967
-0.10621325970044315,1.1245410974350827
-0.10494823047363043,1.0706417581835406
-0.10494823047363043,1.0706417581835406
-0.10583700088591974,1.1073108353716843
-0.10316741350300856,1.0210069632459504
-0.10583700088591974,1.1073108353716843
-0.10362251680856455,1.0258347436916038
-0.10362251680856455,1.0258347436916038
-0.103169364758652,1.0016348905197117
-0.1026790506805805,0.987922529154889
-0.10225365358121205,0.9701519513708913
-0.10172688747462391,0.9403680194709427
-0.10100811709004967,0.9184209877570793
-0.10074344705169229,0.8910981043731256
-0.10011787104956864,0.863788336475144
-0.09964343582293904,0.8394760600042543
-0.09883972108963855,0.8184783433261813
-0.0980839779199249,0.7930777125196886
-0.09723173657537776,0.7752183897561356
-0.09641735390136491,0.753028248070342
-0.09541898008913884,0.732589458611115
-0.09448287787970358,0.7139544647084165
-0.09367630981913141,0.6925969559936596
-0.0927796081410182,0.670442980697265
-0.09197231026103048,0.6483908400004755
-0.09110321478047033,0.6260303168096976
-0.09035688725726271,0.6057217936403204
-0.08951602492367158,0.5841865402581948
-0.08862498740818697,0.5628219189406392
-0.08771340539927923,0.5424250304200544
-0.0866679114451955,0.5228340475139244
-0.0855794877256933,0.5052355556329535
-0.08440698918232742,0.4885233780611828
-0.08317579759424909,0.47272180080356135
-0.08193270757582109,0.45698509769496076
-0.08068016900132145,0.4413642617831802
-0.07939796217932808,0.42582294409401783
-0.07811767299855063,0.4106913888209389
-0.07683465755334312,0.39648116940610245
-0.07525621575290466,0.3796818983933803
-0.07410251565223018,0.36767655688112255
-0.07304137348679511,0.35875349448002203
-0.07235543009974767,0.3490420319083516
-0.0689134310492946,0.327606223079667
-0.0689134310492946,0.327606223079667
-0.07139018081798928,0.34354534191168584
-0.07139018081798928,0.34354534191168584
-0.06392258600208017,0.29027363692906716
-0.06392258600208017,0.29027363692906716
-0.06565329098303263,0.30156340061043885
-0.05957342898944882,0.27108185577020033
-0.05345688393681627,0.29353820203024383
-0.052794403412669486,0.26420565646100574
-0.051704651212755894,0.23744547740379252
-0.051704651212755894,0.23744547740379252
-0.0480334523198756,0.2346076655616112
-0.04735915753293837,0.2197216855959112
-0.046822548507205734,0.20342852267264833
-0.04433706083372449,0.18202679322042914
-0.04178429260891808,0.1902856543965188
-0.040942545389818785,0.16902640074421904
-0.03991483854205128,0.15291490416629117
-0.03792632175112819,0.14729200032047546
-0.03786446522339847,0.1378658311653032
-0.034637581434110984,0.1312825387159537
-0.03276593772307149,0.12014648828978516
-0.03144722754104945,0.11415651124532691
-0.030354057269005214,0.09644347180485432
-0.029400126482336416,0.07653054437087438
-0.029400126482336416,0.07653054437087438
-0.02504524359728271,0.0711313628860605
-0.0239099720875219,0.05760894889598546
-0.021879612442552848,0.05376267013262816
-0.019263302503564644,0.04283819116521541
-0.017546961438069896,0.03329235006740838
-0.017122221383489483,0.03253617957524792
-0.015703330252587792,0.03229235924331105
-0.017546961438069896,0.03329235006740838
-0.009793781052099168,0.0028351038194765156
-0.00807943089002429,0.0009332038354033114
-0.006026584309025639,0.00044796173424353617
-0.0034781316772946776,0.00025062338544049837
-0.0019712972722581543,0.0002177820755535162
